Sample in Buffer,Sample in Window,TRIGGER,reg_valid_bytes_ad[15:5],U_reg_aes/reg_crypt_noncein_reg[127]_1[127:0],U_reg_aes/reg_crypt_textin_buffer_msg[127:0],control[4:0],write_data[7:0],reg_valid_bytes_msg[15:5]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
196,196,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
197,197,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
198,198,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
199,199,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
200,200,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
201,201,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
202,202,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
203,203,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
204,204,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
205,205,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
206,206,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
207,207,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
208,208,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
209,209,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
210,210,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
211,211,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
212,212,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
213,213,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
214,214,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
215,215,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
216,216,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
217,217,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
218,218,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
219,219,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
220,220,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
221,221,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
222,222,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
223,223,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
224,224,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
225,225,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
226,226,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
227,227,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
228,228,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
229,229,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
230,230,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
231,231,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
232,232,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
233,233,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
